1;Marcelina;Dziopa;Stowarzyszenie Grygorcewicz;sandra36@example.org;Jaskółcza;+48 720 084 716;Oświęcim
2;Olaf;Natanek;Gabinety Tatarek S.A.;bisagatola@example.net;Zachodnia;507 059 771;Nowa Sól
3;Sandra;Danel;PPUH Obiała;ignacy65@example.net;Jarzębinowa;792 068 759;Mława
4;Anita;Siewiera;Pyziak i syn s.c.;radoslaw40@example.org;Liliowa;+48 579 574 544;Rybnik
5;Mikołaj;Bela;Grupa Behrendt;radoslaw07@example.net;Słoneczna;+48 22 690 04 31;Bielsko-Biała
6;Paweł;Rubacha;Stowarzyszenie Prasek;marika41@example.net;Tysiąclecia;+48 691 834 272;Jaworzno
7;Ignacy;Saran;Fundacja Szpyra-Glazik s.c.;marek64@example.com;Północna;+48 518 845 976;Legnica
8;Olgierd;Foit;Olszyna-Karaśkiewicz Sp.k.;marcelstrzoda@example.com;Zakątek;22 521 56 61;Elbląg
9;Fryderyk;Teter;Grupa Galek-Maślankiewicz s.c.;drygasinga@example.com;Handlowa;+48 503 841 056;Sanok
10;Dagmara;Miechowicz;PPUH Wasążnik Sp.j.;dstapor@example.org;Krzywa;+48 534 125 781;Otwock
11;Gaja;Sass;Saran-Łasica Sp. z o.o.;idziurdzia@example.org;Wiązowa;695 685 965;Legnica
12;Nela;Tonder;Gabinety Karnas-Piechna i syn s.c.;grzegorzgegotek@example.org;Willowa;+48 516 281 591;Ostrowiec Świętokrzyski
13;Alex;Tofil;Nawrotek Sp.k.;nmurach@example.org;Rynek;+48 737 124 765;Tomaszów Mazowiecki
14;Leonard;Tylec;Tokaj S.A.;ignacymosiolek@example.org;Wałowa;+48 513 113 304;Będzin
15;Jacek;Furga;FPUH Barteczko Sp. z o.o. Sp.k.;dariuszkidon@example.net;Floriana;+48 530 565 782;Pruszcz Gdański
16;Ernest;Waszczyk;Przewoźny S.A.;apolonia96@example.com;Fredry;+48 22 129 55 60;Bartoszyce
17;Konstanty;Baś;Gabinety Pilarek-Łyś S.A.;artur62@example.com;Średnia;517 775 434;Zawiercie
18;Ignacy;Gawliczek;Spółdzielnia Kuźnia;srajchel@example.com;Daszyńskiego;721 501 277;Częstochowa
